record_id,date,time,district,province,temperature_c,humidity_pct,previous_consumption_kwh,household_size,ac_usage,fan_usage,work_from_home,electricity_consumption_kwh
23,2025-01-01,03:00:00,Kegalle,Sabaragamuwa,24.28,83.61,2.1894,3,0,0,0,1.8842
24,2025-01-01,03:00:00,Kurunegala,North Western,25.7,83.75,2.0785,2,0,1,0,1.974
25,2025-01-01,04:00:00,Colombo,Western,25.93,84.6,2.2632,5,0,1,1,2.21
26,2025-01-01,04:00:00,Galle,Southern,24.28,87.05,2.054,5,0,0,0,1.9599
27,2025-01-01,04:00:00,Gampaha,Western,25.93,86.8,2.1998,7,0,1,0,2.1824
28,2025-01-01,04:00:00,Kandy,Central,23.63,84.1,1.9429,2,0,0,0,1.673
29,2025-01-01,04:00:00,Kegalle,Sabaragamuwa,24.73,86.78,1.8842,3,0,0,1,1.9875
30,2025-01-01,04:00:00,Kurunegala,North Western,23.82,84.95,1.974,4,0,0,0,1.7947
31,2025-01-01,05:00:00,Colombo,Western,24.56,86.76,2.21,5,0,0,0,2.1968
32,2025-01-01,05:00:00,Galle,Southern,24.44,84.55,1.9599,3,0,0,0,1.8272
33,2025-01-01,05:00:00,Gampaha,Western,24.9,84.51,2.1824,2,0,0,1,1.9869
34,2025-01-01,05:00:00,Kandy,Central,25.04,87.83,1.673,7,0,0,0,1.9196
35,2025-01-01,05:00:00,Kegalle,Sabaragamuwa,23.76,88.37,1.9875,3,0,0,0,1.6749
36,2025-01-01,05:00:00,Kurunegala,North Western,25.27,83.97,1.7947,4,0,0,1,1.8204
37,2025-01-01,06:00:00,Colombo,Western,26.29,86.57,2.1968,4,0,1,0,2.1686
38,2025-01-01,06:00:00,Galle,Southern,24.3,91.88,1.8272,5,0,0,1,1.9456
39,2025-01-01,06:00:00,Gampaha,Western,26.31,88.02,1.9869,3,0,1,0,2.1117
40,2025-01-01,06:00:00,Kandy,Central,23.9,92.62,1.9196,2,0,0,1,1.78
41,2025-01-01,06:00:00,Kegalle,Sabaragamuwa,24.94,87.24,1.6749,7,0,0,0,2.0004
42,2025-01-01,06:00:00,Kurunegala,North Western,23.76,89.82,1.8204,4,0,0,0,1.7532
43,2025-01-01,07:00:00,Colombo,Western,24.06,82.83,2.1686,2,0,0,0,1.8434
44,2025-01-01,07:00:00,Galle,Southern,25.13,91.06,1.9456,4,0,0,0,1.9593
45,2025-01-01,07:00:00,Gampaha,Western,24.56,89.39,2.1117,6,0,0,0,1.8467
46,2025-01-01,07:00:00,Kandy,Central,23.05,85.95,1.78,4,0,0,0,1.5443
47,2025-01-01,07:00:00,Kegalle,Sabaragamuwa,23.25,90.01,2.0004,2,0,0,0,1.6582
48,2025-01-01,07:00:00,Kurunegala,North Western,24.99,90.27,1.7532,4,0,0,1,1.9921
49,2025-01-01,08:00:00,Colombo,Western,25.93,89.62,1.8434,3,0,1,1,2.1493
50,2025-01-01,08:00:00,Galle,Southern,23.75,86.36,1.9593,7,0,0,0,1.92
51,2025-01-01,08:00:00,Gampaha,Western,24.51,88.61,1.8467,7,0,0,0,2.0333
52,2025-01-01,08:00:00,Kandy,Central,23.45,85.19,1.5443,2,0,0,0,1.6199
53,2025-01-01,08:00:00,Kegalle,Sabaragamuwa,24.52,88.16,1.6582,7,0,0,0,1.9282
54,2025-01-01,08:00:00,Kurunegala,North Western,24.5,86.13,1.9921,6,0,0,1,1.9996
55,2025-01-01,09:00:00,Colombo,Western,25.85,84.77,2.1493,3,0,1,1,2.0655
56,2025-01-01,09:00:00,Galle,Southern,25.46,88.54,1.92,7,0,0,0,1.9283
57,2025-01-01,09:00:00,Gampaha,Western,25.25,89.27,2.0333,5,0,0,0,1.9081
58,2025-01-01,09:00:00,Kandy,Central,23.19,88.73,1.6199,5,0,0,0,1.6423
59,2025-01-01,09:00:00,Kegalle,Sabaragamuwa,24.34,88.58,1.9282,7,0,0,0,1.8937
60,2025-01-01,09:00:00,Kurunegala,North Western,23.7,80.21,1.9996,7,0,0,0,1.6632
61,2025-01-01,10:00:00,Colombo,Western,24.52,89.2,2.0655,6,0,0,0,1.9218
62,2025-01-01,10:00:00,Galle,Southern,24.63,80.54,1.9283,2,0,0,0,1.4894
63,2025-01-01,10:00:00,Gampaha,Western,24.03,83.5,1.9081,3,0,0,0,1.7047
64,2025-01-01,10:00:00,Kandy,Central,23.59,84.03,1.6423,4,0,0,0,1.4752
65,2025-01-01,10:00:00,Kegalle,Sabaragamuwa,23.82,87.65,1.8937,2,0,0,1,1.6843
66,2025-01-01,10:00:00,Kurunegala,North Western,23.95,87.5,1.6632,5,0,0,0,1.6259
67,2025-01-01,11:00:00,Colombo,Western,24.43,85.11,1.9218,6,0,0,0,1.7229
68,2025-01-01,11:00:00,Galle,Southern,23.41,81.54,1.4894,4,0,0,1,1.7161
69,2025-01-01,11:00:00,Gampaha,Western,24.19,82.48,1.7047,5,0,0,0,1.7457
70,2025-01-01,11:00:00,Kandy,Central,23.56,80.02,1.4752,2,0,0,0,1.4947
71,2025-01-01,11:00:00,Kegalle,Sabaragamuwa,26.17,82.34,1.6843,7,0,1,0,1.7819
72,2025-01-01,11:00:00,Kurunegala,North Western,23.8,87.76,1.6259,6,0,0,0,1.7363
73,2025-01-01,12:00:00,Colombo,Western,26.09,85.19,1.7229,2,0,1,0,1.8991
74,2025-01-01,12:00:00,Galle,Southern,25.2,81.8,1.7161,6,0,0,0,1.7798
75,2025-01-01,12:00:00,Gampaha,Western,25.93,83.02,1.7457,6,0,1,1,2.0865
76,2025-01-01,12:00:00,Kandy,Central,24.76,78.38,1.4947,4,0,0,1,1.5659
77,2025-01-01,12:00:00,Kegalle,Sabaragamuwa,25.25,84.79,1.7819,4,0,0,0,1.6396
78,2025-01-01,12:00:00,Kurunegala,North Western,26.31,85.5,1.7363,7,0,1,1,2.1104
79,2025-01-01,13:00:00,Colombo,Western,26.68,82.06,1.8991,5,0,1,0,2.0304
80,2025-01-01,13:00:00,Galle,Southern,26.26,81.29,1.7798,6,0,1,0,1.7421
81,2025-01-01,13:00:00,Gampaha,Western,25.93,77.22,2.0865,4,0,1,0,1.8804
82,2025-01-01,13:00:00,Kandy,Central,24.56,81.51,1.5659,4,0,0,0,1.5179
83,2025-01-01,13:00:00,Kegalle,Sabaragamuwa,24.61,78.97,1.6396,3,0,0,0,1.4078
84,2025-01-01,13:00:00,Kurunegala,North Western,25.77,78.05,2.1104,2,0,1,1,1.8885
85,2025-01-01,14:00:00,Colombo,Western,26.15,80.24,2.0304,5,0,1,0,2.1376
86,2025-01-01,14:00:00,Galle,Southern,25.94,81.25,1.7421,5,0,1,1,1.8403
87,2025-01-01,14:00:00,Gampaha,Western,27.52,83.03,1.8804,7,0,1,1,2.2925
88,2025-01-01,14:00:00,Kandy,Central,24.8,74.05,1.5179,2,0,0,0,1.4857
89,2025-01-01,14:00:00,Kegalle,Sabaragamuwa,25.76,79.71,1.4078,3,0,1,0,1.6911
90,2025-01-01,14:00:00,Kurunegala,North Western,26.13,76.92,1.8885,4,0,1,0,1.7469
91,2025-01-01,15:00:00,Colombo,Western,25.79,76.97,2.1376,5,0,1,0,1.9616
92,2025-01-01,15:00:00,Galle,Southern,25.34,74.42,1.8403,3,0,0,0,1.6653
93,2025-01-01,15:00:00,Gampaha,Western,26.8,76.54,2.2925,2,0,1,0,1.7988
94,2025-01-01,15:00:00,Kandy,Central,26.11,75.76,1.4857,7,0,1,1,1.8689
95,2025-01-01,15:00:00,Kegalle,Sabaragamuwa,27.81,78.94,1.6911,3,0,1,0,1.7564
96,2025-01-01,15:00:00,Kurunegala,North Western,27.24,75.59,1.7469,4,0,1,0,1.6837
97,2025-01-01,16:00:00,Colombo,Western,27.14,78.9,1.9616,4,0,1,0,1.9523
98,2025-01-01,16:00:00,Galle,Southern,26.36,75.79,1.6653,5,0,1,0,1.8431
99,2025-01-01,16:00:00,Gampaha,Western,26.12,78.45,1.7988,3,0,1,1,1.9414
100,2025-01-01,16:00:00,Kandy,Central,26.13,76.47,1.8689,2,0,1,0,1.6266
101,2025-01-01,16:00:00,Kegalle,Sabaragamuwa,27.26,74.52,1.7564,7,0,1,0,1.8342
102,2025-01-01,16:00:00,Kurunegala,North Western,25.32,72.41,1.6837,4,0,0,0,1.603
103,2025-01-01,17:00:00,Colombo,Western,28.55,72.19,1.9523,2,0,1,0,1.9137
104,2025-01-01,17:00:00,Galle,Southern,27.61,71.19,1.8431,4,0,1,1,1.8802
105,2025-01-01,17:00:00,Gampaha,Western,26.64,73.62,1.9414,6,0,1,1,2.0976
106,2025-01-01,17:00:00,Kandy,Central,26.14,78.09,1.6266,4,0,1,1,1.6928
107,2025-01-01,17:00:00,Kegalle,Sabaragamuwa,26.74,70.23,1.8342,2,0,1,1,1.6701
108,2025-01-01,17:00:00,Kurunegala,North Western,26.14,78.82,1.603,4,0,1,0,1.7841
109,2025-01-01,18:00:00,Colombo,Western,28.15,72.55,1.9137,3,0,1,0,2.1302
110,2025-01-01,18:00:00,Galle,Southern,28.2,69.08,1.8802,7,0,1,0,2.0445
111,2025-01-01,18:00:00,Gampaha,Western,27.57,75.85,2.0976,7,0,1,1,2.2733
112,2025-01-01,18:00:00,Kandy,Central,27.78,76.0,1.6928,2,0,1,0,1.6802
113,2025-01-01,18:00:00,Kegalle,Sabaragamuwa,28.05,74.08,1.6701,7,0,1,1,2.2254
114,2025-01-01,18:00:00,Kurunegala,North Western,27.12,74.98,1.7841,6,0,1,0,2.0401
115,2025-01-01,19:00:00,Colombo,Western,27.7,72.06,2.1302,3,0,1,1,2.2967
116,2025-01-01,19:00:00,Galle,Southern,28.06,77.29,2.0445,7,0,1,0,2.3542
117,2025-01-01,19:00:00,Gampaha,Western,27.81,71.05,2.2733,5,0,1,1,2.3284
118,2025-01-01,19:00:00,Kandy,Central,26.42,73.65,1.6802,5,0,1,0,1.761
119,2025-01-01,19:00:00,Kegalle,Sabaragamuwa,28.01,74.57,2.2254,7,0,1,0,2.0863
120,2025-01-01,19:00:00,Kurunegala,North Western,28.18,74.26,2.0401,7,0,1,0,2.1097
121,2025-01-01,20:00:00,Colombo,Western,28.14,72.18,2.2967,6,0,1,1,2.2997
122,2025-01-01,20:00:00,Galle,Southern,27.48,73.55,2.3542,2,0,1,0,2.0803
123,2025-01-01,20:00:00,Gampaha,Western,26.67,72.62,2.3284,3,0,0,1,2.1007
124,2025-01-01,20:00:00,Kandy,Central,27.31,75.91,1.761,4,0,1,0,1.9359
125,2025-01-01,20:00:00,Kegalle,Sabaragamuwa,28.3,74.05,2.0863,2,0,0,0,2.0857
126,2025-01-01,20:00:00,Kurunegala,North Western,26.99,69.71,2.1097,5,0,1,0,2.069
127,2025-01-01,21:00:00,Colombo,Western,26.33,77.51,2.2997,6,0,1,0,2.29
128,2025-01-01,21:00:00,Galle,Southern,27.95,72.82,2.0803,4,0,1,0,1.9613
129,2025-01-01,21:00:00,Gampaha,Western,27.68,75.33,2.1007,5,0,1,0,2.1821
130,2025-01-01,21:00:00,Kandy,Central,28.38,76.24,1.9359,2,0,1,1,2.0338
131,2025-01-01,21:00:00,Kegalle,Sabaragamuwa,27.46,73.54,2.0857,7,0,1,0,2.0631
132,2025-01-01,21:00:00,Kurunegala,North Western,28.22,71.31,2.069,6,1,0,1,2.2222
133,2025-01-01,22:00:00,Colombo,Western,28.4,77.82,2.29,2,0,0,0,2.2154
134,2025-01-01,22:00:00,Galle,Southern,27.62,76.56,1.9613,6,0,0,0,2.211
135,2025-01-01,22:00:00,Gampaha,Western,27.68,69.85,2.1821,6,0,1,0,2.1986
136,2025-01-01,22:00:00,Kandy,Central,26.71,77.56,2.0338,4,0,1,0,1.982
137,2025-01-01,22:00:00,Kegalle,Sabaragamuwa,27.78,77.66,2.0631,4,0,1,0,2.1761
138,2025-01-01,22:00:00,Kurunegala,North Western,26.8,76.59,2.2222,7,0,1,0,2.3998
139,2025-01-01,23:00:00,Colombo,Western,27.88,75.29,2.2154,5,0,1,1,2.4247
140,2025-01-01,23:00:00,Galle,Southern,27.99,78.47,2.211,6,0,1,0,2.1806
141,2025-01-01,23:00:00,Gampaha,Western,27.33,76.68,2.1986,4,0,1,1,2.2019
142,2025-01-01,23:00:00,Kandy,Central,26.81,79.6,1.982,4,0,1,0,2.107
143,2025-01-01,23:00:00,Kegalle,Sabaragamuwa,26.56,75.82,2.1761,3,0,0,0,1.9027
144,2025-01-01,23:00:00,Kurunegala,North Western,26.38,80.1,2.3998,2,0,1,1,2.0692
145,2025-01-02,00:00:00,Colombo,Western,27.75,83.27,2.4247,5,0,1,0,2.417
146,2025-01-02,00:00:00,Galle,Southern,26.55,78.15,2.1806,5,0,1,1,2.197
147,2025-01-02,00:00:00,Gampaha,Western,27.06,82.25,2.2019,7,0,0,0,2.1946
148,2025-01-02,00:00:00,Kandy,Central,25.96,81.06,2.107,2,0,1,0,1.8213
149,2025-01-02,00:00:00,Kegalle,Sabaragamuwa,26.32,82.37,1.9027,3,0,1,1,2.0742
150,2025-01-02,00:00:00,Kurunegala,North Western,26.73,79.21,2.0692,4,0,1,0,2.0278
151,2025-01-02,01:00:00,Colombo,Western,26.96,84.45,2.417,5,0,1,1,2.4117
152,2025-01-02,01:00:00,Galle,Southern,27.43,79.2,2.197,3,0,1,0,2.0142
153,2025-01-02,01:00:00,Gampaha,Western,27.44,79.29,2.1946,2,0,0,0,2.0368
154,2025-01-02,01:00:00,Kandy,Central,26.39,77.75,1.8213,7,0,1,0,2.2023
155,2025-01-02,01:00:00,Kegalle,Sabaragamuwa,25.34,81.33,2.0742,3,0,0,1,1.8767
156,2025-01-02,01:00:00,Kurunegala,North Western,25.5,81.08,2.0278,4,0,0,1,2.0809
157,2025-01-02,02:00:00,Colombo,Western,26.55,86.15,2.4117,4,0,1,0,2.4559
158,2025-01-02,02:00:00,Galle,Southern,26.52,85.35,2.0142,5,0,1,0,2.0993
159,2025-01-02,02:00:00,Gampaha,Western,26.59,83.01,2.0368,3,0,1,0,1.9935
160,2025-01-02,02:00:00,Kandy,Central,24.5,83.86,2.2023,2,0,0,0,1.8042
161,2025-01-02,02:00:00,Kegalle,Sabaragamuwa,25.71,83.03,1.8767,7,0,0,0,2.0648
162,2025-01-02,02:00:00,Kurunegala,North Western,26.3,80.63,2.0809,4,0,1,1,2.1121
163,2025-01-02,03:00:00,Colombo,Western,25.81,84.85,2.4559,2,0,0,0,2.14
164,2025-01-02,03:00:00,Galle,Southern,24.71,84.69,2.0993,4,0,0,0,1.9566
165,2025-01-02,03:00:00,Gampaha,Western,26.43,88.72,1.9935,6,0,1,0,2.2793
166,2025-01-02,03:00:00,Kandy,Central,24.43,87.17,1.8042,4,0,0,0,1.8652
167,2025-01-02,03:00:00,Kegalle,Sabaragamuwa,24.81,89.07,2.0648,2,0,0,0,1.9433
168,2025-01-02,03:00:00,Kurunegala,North Western,24.21,86.66,2.1121,4,0,0,0,1.7861
169,2025-01-02,04:00:00,Colombo,Western,25.25,85.5,2.14,3,0,0,1,2.0169
170,2025-01-02,04:00:00,Galle,Southern,26.38,88.54,1.9566,7,0,1,0,2.2733
171,2025-01-02,04:00:00,Gampaha,Western,26.02,90.4,2.2793,7,0,1,0,2.1538
172,2025-01-02,04:00:00,Kandy,Central,23.09,81.79,1.8652,2,0,0,0,1.5672
173,2025-01-02,04:00:00,Kegalle,Sabaragamuwa,25.61,87.2,1.9433,7,0,1,0,2.0973
174,2025-01-02,04:00:00,Kurunegala,North Western,24.83,89.3,1.7861,6,0,0,0,1.9721
175,2025-01-02,05:00:00,Colombo,Western,25.77,91.05,2.0169,3,0,1,0,2.1359
176,2025-01-02,05:00:00,Galle,Southern,24.7,84.2,2.2733,7,0,0,0,1.9522
177,2025-01-02,05:00:00,Gampaha,Western,24.12,90.63,2.1538,5,0,0,0,1.9073
178,2025-01-02,05:00:00,Kandy,Central,25.02,82.97,1.5672,5,0,0,0,1.6118
179,2025-01-02,05:00:00,Kegalle,Sabaragamuwa,24.2,83.72,2.0973,7,0,0,0,1.9364
180,2025-01-02,05:00:00,Kurunegala,North Western,25.57,85.26,1.9721,7,0,1,0,2.1646
181,2025-01-02,06:00:00,Colombo,Western,25.42,90.12,2.1359,6,0,0,1,2.1814
182,2025-01-02,06:00:00,Galle,Southern,24.98,93.5,1.9522,2,0,0,1,2.0231
183,2025-01-02,06:00:00,Gampaha,Western,25.59,83.8,1.9073,3,0,1,1,2.0633
184,2025-01-02,06:00:00,Kandy,Central,23.17,86.31,1.6118,4,0,0,0,1.6251
185,2025-01-02,06:00:00,Kegalle,Sabaragamuwa,24.81,85.65,1.9364,2,0,0,1,1.742
186,2025-01-02,06:00:00,Kurunegala,North Western,24.04,88.78,2.1646,5,0,0,0,1.9762
187,2025-01-02,07:00:00,Colombo,Western,24.02,86.48,2.1814,6,0,0,0,2.0339
188,2025-01-02,07:00:00,Galle,Southern,23.73,88.27,2.0231,4,0,0,0,1.8893
189,2025-01-02,07:00:00,Gampaha,Western,23.12,86.49,2.0633,5,0,0,0,1.9285
190,2025-01-02,07:00:00,Kandy,Central,23.41,92.04,1.6251,2,0,0,0,1.6764
191,2025-01-02,07:00:00,Kegalle,Sabaragamuwa,23.85,88.43,1.742,7,0,0,0,1.9482
192,2025-01-02,07:00:00,Kurunegala,North Western,25.8,88.0,1.9762,6,0,1,0,2.1266
193,2025-01-02,08:00:00,Colombo,Western,25.0,86.71,2.0339,2,0,0,0,1.9665
194,2025-01-02,08:00:00,Galle,Southern,23.37,87.11,1.8893,6,0,0,0,1.7494
195,2025-01-02,08:00:00,Gampaha,Western,23.99,81.37,1.9285,6,0,0,0,1.8426
196,2025-01-02,08:00:00,Kandy,Central,23.45,87.55,1.6764,4,0,0,0,1.6692
197,2025-01-02,08:00:00,Kegalle,Sabaragamuwa,23.63,85.37,1.9482,4,0,0,0,1.7793
198,2025-01-02,08:00:00,Kurunegala,North Western,24.05,84.25,2.1266,7,0,0,0,1.945
199,2025-01-02,09:00:00,Colombo,Western,25.74,82.11,1.9665,5,0,1,0,2.0602
200,2025-01-02,09:00:00,Galle,Southern,23.17,83.44,1.7494,6,0,0,0,1.6203
201,2025-01-02,09:00:00,Gampaha,Western,24.36,86.94,1.8426,4,0,0,0,1.8447
202,2025-01-02,09:00:00,Kandy,Central,25.09,88.79,1.6692,4,0,0,0,1.6998
203,2025-01-02,09:00:00,Kegalle,Sabaragamuwa,24.47,85.09,1.7793,3,0,0,0,1.7508
204,2025-01-02,09:00:00,Kurunegala,North Western,24.22,85.77,1.945,2,0,0,0,1.7481
205,2025-01-02,10:00:00,Colombo,Western,25.72,89.11,2.0602,5,0,1,0,2.0687
206,2025-01-02,10:00:00,Galle,Southern,24.79,83.59,1.6203,5,0,0,0,1.6928
207,2025-01-02,10:00:00,Gampaha,Western,24.03,88.03,1.8447,7,0,0,0,1.8622
208,2025-01-02,10:00:00,Kandy,Central,24.1,87.89,1.6998,2,0,0,1,1.6188
209,2025-01-02,10:00:00,Kegalle,Sabaragamuwa,24.35,86.67,1.7508,3,0,0,0,1.6727
210,2025-01-02,10:00:00,Kurunegala,North Western,24.81,85.43,1.7481,4,0,0,0,1.6035
211,2025-01-02,11:00:00,Colombo,Western,25.24,89.29,2.0687,5,0,0,1,2.0325
212,2025-01-02,11:00:00,Galle,Southern,25.14,84.25,1.6928,3,0,0,0,1.5776
213,2025-01-02,11:00:00,Gampaha,Western,25.52,82.29,1.8622,2,0,1,0,1.7633
214,2025-01-02,11:00:00,Kandy,Central,23.09,85.88,1.6188,7,0,0,0,1.6155
215,2025-01-02,11:00:00,Kegalle,Sabaragamuwa,26.08,84.89,1.6727,3,0,1,0,1.729
216,2025-01-02,11:00:00,Kurunegala,North Western,23.82,86.68,1.6035,4,0,0,0,1.8134
217,2025-01-02,12:00:00,Colombo,Western,26.17,83.99,2.0325,4,0,1,0,2.0359
218,2025-01-02,12:00:00,Galle,Southern,26.08,83.41,1.5776,5,0,0,0,1.677
219,2025-01-02,12:00:00,Gampaha,Western,26.47,87.23,1.7633,3,0,1,0,1.8782
220,2025-01-02,12:00:00,Kandy,Central,23.68,83.59,1.6155,2,0,0,0,1.3379
221,2025-01-02,12:00:00,Kegalle,Sabaragamuwa,25.0,83.89,1.729,7,0,0,0,1.6967
222,2025-01-02,12:00:00,Kurunegala,North Western,24.83,87.75,1.8134,4,0,0,1,2.0481
223,2025-01-02,13:00:00,Colombo,Western,26.67,82.56,2.0359,2,0,1,0,2.0255
224,2025-01-02,13:00:00,Galle,Southern,25.55,79.57,1.677,4,0,1,0,1.6817
225,2025-01-02,13:00:00,Gampaha,Western,26.47,77.56,1.8782,6,0,1,1,2.0599
226,2025-01-02,13:00:00,Kandy,Central,24.75,79.49,1.3379,4,0,0,0,1.5916
227,2025-01-02,13:00:00,Kegalle,Sabaragamuwa,24.99,81.76,1.6967,2,0,0,1,1.518
228,2025-01-02,13:00:00,Kurunegala,North Western,25.26,81.49,2.0481,4,0,0,0,1.878
229,2025-01-02,14:00:00,Colombo,Western,26.95,78.93,2.0255,3,0,1,1,2.0217
230,2025-01-02,14:00:00,Galle,Southern,27.07,79.18,1.6817,7,0,1,0,1.9893
231,2025-01-02,14:00:00,Gampaha,Western,25.96,81.01,2.0599,7,0,1,1,2.066
232,2025-01-02,14:00:00,Kandy,Central,25.62,77.8,1.5916,2,0,1,0,1.6022
233,2025-01-02,14:00:00,Kegalle,Sabaragamuwa,26.38,80.48,1.518,7,0,1,0,1.8294
234,2025-01-02,14:00:00,Kurunegala,North Western,25.54,77.63,1.878,6,0,1,0,1.8167
235,2025-01-02,15:00:00,Colombo,Western,26.15,82.69,2.0217,3,0,1,0,1.9569
236,2025-01-02,15:00:00,Galle,Southern,26.8,80.19,1.9893,7,0,1,0,2.0666
237,2025-01-02,15:00:00,Gampaha,Western,26.74,79.4,2.066,5,0,1,0,1.9446
238,2025-01-02,15:00:00,Kandy,Central,26.05,77.37,1.6022,5,0,1,0,1.8288
239,2025-01-02,15:00:00,Kegalle,Sabaragamuwa,25.17,78.41,1.8294,7,0,0,0,1.7658
240,2025-01-02,15:00:00,Kurunegala,North Western,25.89,75.95,1.8167,7,0,1,0,1.8232
241,2025-01-02,16:00:00,Colombo,Western,28.14,73.34,1.9569,6,0,1,0,2.1067
242,2025-01-02,16:00:00,Galle,Southern,25.74,77.89,2.0666,2,0,1,0,1.5419
243,2025-01-02,16:00:00,Gampaha,Western,26.38,75.94,1.9446,3,0,1,0,1.9086
244,2025-01-02,16:00:00,Kandy,Central,25.6,77.07,1.8288,4,0,1,1,1.6902
245,2025-01-02,16:00:00,Kegalle,Sabaragamuwa,25.88,80.04,1.7658,2,0,1,1,1.7166
246,2025-01-02,16:00:00,Kurunegala,North Western,27.3,71.65,1.8232,5,0,1,0,1.7843
247,2025-01-02,17:00:00,Colombo,Western,26.92,78.95,2.1067,6,0,1,0,2.1127
248,2025-01-02,17:00:00,Galle,Southern,28.23,72.29,1.5419,4,0,1,0,1.6603
249,2025-01-02,17:00:00,Gampaha,Western,27.33,71.11,1.9086,5,0,1,0,1.8701
250,2025-01-02,17:00:00,Kandy,Central,27.44,74.6,1.6902,2,0,1,1,1.7942
251,2025-01-02,17:00:00,Kegalle,Sabaragamuwa,27.21,74.38,1.7166,7,0,0,0,1.9204
252,2025-01-02,17:00:00,Kurunegala,North Western,26.21,74.82,1.7843,6,0,1,0,1.8751
253,2025-01-02,18:00:00,Colombo,Western,28.98,74.66,2.1127,2,0,1,0,2.174
254,2025-01-02,18:00:00,Galle,Southern,27.35,72.84,1.6603,6,0,1,0,1.9642
255,2025-01-02,18:00:00,Gampaha,Western,28.12,72.49,1.8701,6,0,1,0,1.94
256,2025-01-02,18:00:00,Kandy,Central,26.04,75.78,1.7942,4,0,1,0,1.8724
257,2025-01-02,18:00:00,Kegalle,Sabaragamuwa,27.81,71.6,1.9204,4,0,1,0,2.0487
258,2025-01-02,18:00:00,Kurunegala,North Western,26.64,74.92,1.8751,7,0,0,1,2.2484
259,2025-01-02,19:00:00,Colombo,Western,28.93,75.91,2.174,5,1,0,0,2.4208
260,2025-01-02,19:00:00,Galle,Southern,26.61,74.07,1.9642,6,0,1,0,1.9694
261,2025-01-02,19:00:00,Gampaha,Western,28.38,73.51,1.94,4,1,0,0,2.1984
262,2025-01-02,19:00:00,Kandy,Central,26.88,72.21,1.8724,4,0,1,0,1.8087
263,2025-01-02,19:00:00,Kegalle,Sabaragamuwa,25.83,78.12,2.0487,3,0,1,0,1.8593
264,2025-01-02,19:00:00,Kurunegala,North Western,27.16,74.17,2.2484,2,0,1,1,2.0118
265,2025-01-02,20:00:00,Colombo,Western,27.22,72.58,2.4208,5,0,1,0,2.2895
266,2025-01-02,20:00:00,Galle,Southern,27.89,73.81,1.9694,5,0,1,0,2.1962
267,2025-01-02,20:00:00,Gampaha,Western,27.84,70.17,2.1984,7,0,0,0,2.1709
268,2025-01-02,20:00:00,Kandy,Central,28.03,76.79,1.8087,2,0,1,0,1.9805
269,2025-01-02,20:00:00,Kegalle,Sabaragamuwa,27.63,76.48,1.8593,3,0,1,0,2.0661
270,2025-01-02,20:00:00,Kurunegala,North Western,28.02,71.42,2.0118,4,0,1,0,1.9726
271,2025-01-02,21:00:00,Colombo,Western,27.8,74.38,2.2895,5,0,0,0,2.3213
272,2025-01-02,21:00:00,Galle,Southern,28.45,75.42,2.1962,3,1,0,0,2.1395
